City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Fairbanks,1,US,1617714199,76,64.8378,-147.7164,-5.01,3.44
Barreirinhas,12,BR,1617714043,62,-2.7469,-42.8264,85.42,8.79
Ketchikan,100,US,1617714200,97,55.3422,-131.6461,38.66,3.96
Puerto Escondido,40,MX,1617714200,83,15.85,-97.0667,75.2,6.91
Ixtapa,20,MX,1617714200,88,20.7,-105.2,68.0,3.38
San Juan Evangelista,75,MX,1617714201,94,17.9,-95.1333,78.8,3.51
Ribeira Grande,40,PT,1617714201,72,38.5167,-28.7,66.2,18.41
Mar del Plata,90,AR,1617714157,100,-38.0023,-57.5575,72.0,6.91
Prince Rupert,90,CA,1617714004,93,54.3161,-130.3201,39.2,6.91
Ushuaia,40,AR,1617714034,53,-54.8,-68.3,48.2,12.66
Mangan,50,IN,1617714202,41,27.5167,88.5333,70.74,2.06
Springdale,1,US,1617714138,94,36.1867,-94.1288,63.0,5.75
Souillac,40,MU,1617714202,70,-20.5167,57.5167,86.0,8.05
Avarua,40,CK,1617714203,74,-21.2078,-159.775,80.6,13.8
Maragogi,100,BR,1617714203,60,-9.0122,-35.2225,83.35,9.08
Cabo San Lucas,1,MX,1617714001,26,22.8909,-109.9124,71.6,9.22
Cape Town,0,ZA,1617714203,41,-33.9258,18.4232,78.01,8.05
Asău,100,RO,1617714204,18,46.4333,26.4,60.01,7.27
Aksarka,44,RU,1617714204,92,66.5606,67.7975,26.02,10.27
Mporokoso,68,ZM,1617714204,77,-9.3727,30.125,72.63,5.99
Rikitea,100,PF,1617714205,73,-23.1203,-134.9692,77.27,13.8
Lucea,20,JM,1617714205,73,18.451,-78.1736,81.0,16.11
Saint-Philippe,55,RE,1617714206,70,-21.3585,55.7679,84.2,11.5
Lüderitz,0,NA,1617714206,61,-26.6481,15.1594,72.07,21.56
Barrow,20,US,1617714206,71,71.2906,-156.7887,-7.6,6.91
Porto Santo,20,PT,1617714207,68,33.072,-16.3415,66.2,10.36
Poya,100,NC,1617714207,77,-21.35,165.15,72.66,6.13
São José da Coroa Grande,100,BR,1617714207,61,-8.8978,-35.1478,83.3,8.93
Wad Medani,9,SD,1617714208,3,14.4012,33.5199,102.42,8.68
Gamba,100,GA,1617714113,72,-2.65,10.0,83.46,10.29
Upernavik,100,GL,1617714208,92,72.7868,-56.1549,12.22,8.59
Puerto Ayora,17,EC,1617714209,95,-0.7393,-90.3518,75.0,5.68
New Norfolk,20,AU,1617714209,76,-42.7826,147.0587,57.99,1.01
Saraland,20,US,1617714209,100,30.8207,-88.0706,62.6,5.75
Borjomi,99,GE,1617714210,70,41.8527,43.4128,54.84,4.07
Leningradskiy,99,RU,1617714210,98,69.3833,178.4167,-15.34,5.28
Port Alfred,100,ZA,1617714210,75,-33.5906,26.891,65.8,17.43
Saint-Joseph,52,RE,1617714210,70,-21.3667,55.6167,84.2,11.5
Butaritari,100,KI,1617714211,77,3.0707,172.7902,78.49,8.39
Cherskiy,47,RU,1617714211,100,68.75,161.3,-26.55,3.2
Vao,61,NC,1617714211,71,-22.6667,167.4833,75.52,23.73
Alta Floresta,100,BR,1617714212,84,-9.8756,-56.0861,78.22,1.68
Chui,0,UY,1617714212,71,-33.6971,-53.4616,73.92,7.2
Thompson,90,CA,1617714212,93,55.7435,-97.8558,28.4,12.66
Kenai,1,US,1617714213,66,60.5544,-151.2583,8.6,8.32
Bethel,1,US,1617714062,37,41.3712,-73.414,48.2,3.44
Hakkâri Province,75,TR,1617714213,30,37.5833,44.1667,57.2,16.11
Sooke,68,CA,1617714214,86,48.3746,-123.7276,42.8,11.5
Tuktoyaktuk,100,CA,1617714214,98,69.4541,-133.0374,-6.61,10.36
Bredasdorp,100,ZA,1617714214,53,-34.5322,20.0403,73.4,18.41
Kapaa,40,US,1617714214,64,22.0752,-159.319,73.4,19.57
Ipirá,66,BR,1617714215,50,-12.1583,-39.7372,84.31,8.66
Port Elizabeth,90,ZA,1617714202,77,-33.918,25.5701,66.2,14.97
Ilulissat,75,GL,1617714215,79,69.2167,-51.1,21.2,9.22
Mataura,92,NZ,1617714216,87,-46.1927,168.8643,54.0,11.01
Koumac,100,NC,1617714216,78,-20.5667,164.2833,74.73,6.96
Busselton,80,AU,1617714216,84,-33.65,115.3333,65.8,4.9
George Town,40,MY,1617714094,83,5.4112,100.3354,82.4,5.75
Kasongo-Lunda,100,CD,1617714134,64,-6.4667,16.8167,83.55,1.72
Dikson,18,RU,1617714217,98,73.5069,80.5464,0.36,6.17
Castro,94,BR,1617714217,70,-24.7911,-50.0119,66.83,5.46
Punta Arenas,90,CL,1617714174,76,-53.15,-70.9167,48.2,9.22
Bluff,99,NZ,1617714218,87,-46.6,168.3333,54.0,11.01
Caloundra,100,AU,1617714218,97,-26.8,153.1333,69.01,5.01
El Real de Santa Maria,98,PA,1617714218,95,8.109,-77.7325,76.87,0.74
Oktyabr'skiy,94,RU,1617714219,93,54.4815,53.471,35.17,12.84
Nizwá,0,OM,1617714219,4,22.9333,57.5333,95.59,10.85
Sri Aman,90,MY,1617714220,89,1.2376,111.4621,78.8,2.37
Norman Wells,40,CA,1617714220,84,65.282,-126.8329,-13.0,4.61
Saint-Augustin,100,CA,1617714220,99,51.226,-58.6502,39.97,16.84
Mahébourg,40,MU,1617714220,70,-20.4081,57.7,86.0,8.05
Winsum,99,NL,1617714221,65,53.33,6.5208,44.01,8.99
Saskylakh,100,RU,1617714221,86,71.9167,114.0833,10.89,14.43
Jega,75,NG,1617713949,6,12.2175,4.3792,105.62,6.49
Provideniya,77,RU,1617714222,90,64.3833,-173.3,0.3,10.09
Bengkulu,100,ID,1617714222,83,-3.8004,102.2655,77.76,3.94
Portland,1,US,1617714120,75,45.5234,-122.6762,37.99,1.79
Juneau,90,US,1617714024,80,58.3019,-134.4197,35.6,3.44
Pisco,63,PE,1617714223,78,-13.7,-76.2167,69.8,3.44
Kaitangata,22,NZ,1617714223,71,-46.2817,169.8464,55.99,8.99
Smidovich,99,RU,1617714223,47,48.6,133.8167,34.05,15.5
East London,40,ZA,1617714224,77,-33.0153,27.9116,66.2,6.91
Manokwari,100,ID,1617714224,81,-0.8667,134.0833,80.04,7.47
Lagoa,99,PT,1617714224,90,39.05,-27.9833,58.69,21.0
Fortuna,1,US,1617713926,100,40.5982,-124.1573,39.99,9.22
Hilo,90,US,1617714138,88,19.7297,-155.09,66.2,6.91
Forbes,66,AU,1617714225,61,-33.3833,148.0167,71.01,1.99
Chul'man,100,RU,1617714225,96,56.8479,124.9104,-8.99,2.8
Davila,20,PH,1617714226,54,18.4726,120.5763,84.2,4.61
Tepalcatepec,3,MX,1617714226,75,19.1833,-102.85,68.31,0.45
San Jerónimo,95,PE,1617714226,79,-11.9472,-75.2829,51.48,0.98
Vaini,20,TO,1617714227,94,-21.2,-175.2,73.4,8.68
Banda Aceh,100,ID,1617714227,82,5.5577,95.3222,80.1,8.3
Capreol,90,CA,1617714227,51,46.706,-80.9225,41.0,8.05
Santiago del Estero,72,AR,1617714228,80,-27.7951,-64.2615,73.92,6.85
Nanortalik,100,GL,1617714228,95,60.1432,-45.2371,36.0,4.05
Albany,1,US,1617714024,32,42.6001,-73.9662,46.99,1.99
Bilibino,83,RU,1617714228,99,68.0546,166.4372,-19.75,4.0
Atuona,73,PF,1617714055,79,-9.8,-139.0333,79.97,9.31
Esperance,90,AU,1617714229,94,-33.8667,121.9,66.2,5.75
Chu,35,KZ,1617714229,60,43.5983,73.7614,54.1,12.17
Chihuahua,40,MX,1617714201,33,28.5,-106.0,59.0,10.36
Caravelas,21,BR,1617714230,56,-17.7125,-39.2481,82.76,9.95
Tevaitoa,100,PF,1617714230,67,-16.7833,-151.5,79.95,9.4
Geraldton,100,AU,1617714230,78,-28.7667,114.6,71.6,8.05
Lebu,100,CL,1617714231,94,-37.6167,-73.65,55.38,10.94
Boden,75,SE,1617714231,86,65.8252,21.6886,33.8,11.5
Kumul,31,CN,1617714231,20,42.8,93.45,63.5,8.68
Sørland,75,NO,1617714232,70,67.667,12.6934,39.2,37.98
Laguna,1,US,1617714232,87,38.421,-121.4238,48.0,4.61
Fort Nelson,90,CA,1617714232,80,58.8053,-122.7002,28.4,8.05
Mehamn,75,NO,1617714233,75,71.0357,27.8492,35.6,28.77
Tigil',100,RU,1617714233,94,57.8,158.6667,13.39,2.84
Huarmey,86,PE,1617714071,82,-10.0681,-78.1522,71.73,6.02
Ormara,0,PK,1617714073,70,25.2088,64.6357,81.3,16.37
Guerrero Negro,100,MX,1617714234,86,27.9769,-114.0611,59.67,11.99
Sisophon,60,KH,1617714234,67,13.5859,102.9737,84.78,7.18
Talnakh,100,RU,1617714234,98,69.4865,88.3972,30.15,3.36
Weligama,2,LK,1617714235,81,5.9667,80.4167,79.65,3.44
Klaksvík,75,FO,1617714235,69,62.2266,-6.589,28.4,31.07
Leer,83,SS,1617714235,17,8.3018,30.1418,103.68,4.45
Tuatapere,100,NZ,1617714236,87,-46.1333,167.6833,54.0,11.01
El Guantillo,75,HN,1617714236,82,14.6,-87.3,64.4,5.75
Alofi,90,NU,1617714236,94,-19.0595,-169.9187,75.2,3.44
Gazojak,3,TM,1617714237,23,41.1875,61.4036,68.36,12.62
Warah,0,PK,1617714108,6,27.4481,67.7978,100.92,16.84
Clyde River,1,CA,1617714237,72,70.4692,-68.5914,8.6,10.36
Jamestown,20,US,1617714020,65,42.097,-79.2353,48.0,3.44
Noumea,0,NC,1617714187,78,-22.2763,166.4572,71.6,3.44
Cidreira,41,BR,1617714238,69,-30.1811,-50.2056,75.42,9.86
Chicama,90,PE,1617714238,94,-7.8447,-79.1469,66.2,9.22
Katherine,14,AU,1617714238,78,-14.4667,132.2667,75.2,2.44
Jacareacanga,75,BR,1617714193,100,-6.2222,-57.7528,75.2,2.3
Khatanga,92,RU,1617714239,97,71.9667,102.5,6.6,6.85
Husavik,75,IS,1617714239,63,66.0449,-17.3389,19.4,2.3
Rome,1,US,1617714239,75,43.2128,-75.4557,42.01,5.55
Port Augusta,0,AU,1617714240,77,-32.5,137.7667,64.4,5.75
Atar,6,MR,1617714240,10,20.5169,-13.0499,96.03,7.81
Hamilton,75,US,1617714240,58,39.1834,-84.5333,61.0,3.44
Umm Kaddadah,0,SD,1617714241,3,13.6017,26.6876,100.58,11.97
Ruteng,100,ID,1617714241,92,-8.6136,120.4721,63.45,2.98
Brae,90,GB,1617714241,86,60.3964,-1.353,33.8,35.68
Chokurdakh,59,RU,1617714242,95,70.6333,147.9167,-26.21,3.02
Phon,61,TH,1617714242,99,15.816,102.5998,86.0,6.26
Houma,90,US,1617714242,94,29.5958,-90.7195,66.99,4.14
Kampong Thom,15,KH,1617714243,49,12.7111,104.8887,87.89,5.61
Puerto del Rosario,20,ES,1617714243,49,28.5004,-13.8627,71.6,16.11
Hermanus,97,ZA,1617714243,66,-34.4187,19.2345,73.0,8.99
Obo,100,CF,1617714244,31,5.3998,26.4869,94.77,2.68
Arraial do Cabo,40,BR,1617714244,88,-22.9661,-42.0278,71.6,8.05
Lewiston,75,US,1617713948,70,44.1003,-70.2148,46.0,5.75
Berlevåg,40,NO,1617714244,75,70.8578,29.0864,35.6,17.27
Saint Paul Harbor,90,US,1617714245,55,57.79,-152.4072,33.8,7.63
Tautira,20,PF,1617714133,69,-17.7333,-149.15,77.0,3.44
Richards Bay,60,ZA,1617714245,78,-28.783,32.0377,75.15,5.48
Nizhniy Kuranakh,100,RU,1617714246,96,58.8353,125.4869,2.82,2.59
São Filipe,0,CV,1617714246,57,14.8961,-24.4956,78.51,10.36
Shimoda,100,JP,1617714246,79,34.6667,138.95,55.0,12.73
Gobabis,95,NA,1617714247,31,-22.45,18.9667,80.83,7.05
Innisfail,98,AU,1617714247,91,-17.5333,146.0333,75.87,2.8
Haines Junction,100,CA,1617714247,79,60.7522,-137.5108,15.8,6.91
Boddam,75,GB,1617714248,80,57.4667,-1.7833,36.0,19.57
Sobolevo,100,RU,1617714248,49,54.4299,31.8996,42.64,10.07
Leh,100,IN,1617714193,68,34.1667,77.5833,37.42,2.28
Tomatlán,0,MX,1617714248,81,19.9333,-105.25,62.78,3.87
Hay River,100,CA,1617714005,86,60.8156,-115.7999,23.0,8.05
Torbay,90,CA,1617714249,100,47.6666,-52.7314,41.0,19.57
Chapada dos Guimarães,0,BR,1617714249,88,-15.4606,-55.7497,77.0,3.44
Te Anau,100,NZ,1617714107,93,-45.4167,167.7167,47.8,0.51
Kruisfontein,98,ZA,1617714250,80,-34.0033,24.7314,66.0,5.99
Sinnamary,32,GF,1617714250,83,5.3833,-52.95,80.62,10.16
Deputatsky,98,RU,1617714251,99,69.3,139.9,-11.99,2.59
El Batey,90,DO,1617714023,100,19.7667,-70.5167,69.8,12.64
Hithadhoo,52,MV,1617714251,65,-0.6,73.0833,83.52,9.66
Tiksi,51,RU,1617714252,97,71.6872,128.8694,-17.05,5.01
Sisimiut,100,GL,1617714252,84,66.9395,-53.6735,25.68,16.22
Pacasmayo,100,PE,1617714252,83,-7.4006,-79.5714,70.88,7.76
Gigmoto,99,PH,1617714253,80,13.7796,124.39,77.81,10.85
Aklavik,100,CA,1617714253,77,68.2191,-135.0107,-13.0,2.3
Hobart,75,AU,1617714154,88,-42.8794,147.3294,57.99,0.72
Qaanaaq,100,GL,1617714253,75,77.484,-69.3632,1.45,0.38
Balsas,33,BR,1617714196,68,-7.5325,-46.0356,82.63,9.66
Saint George,1,US,1617714020,26,37.1041,-113.5841,54.0,9.22
Labuhan,100,ID,1617714254,84,-6.8844,112.2051,81.14,7.76
Ambon City,99,ID,1617714254,77,-3.6954,128.1814,82.29,5.93
Resavica,95,RS,1617714255,34,44.0408,21.5816,55.0,10.4
Severo-Kuril'sk,58,RU,1617714255,73,50.6789,156.125,26.38,17.76
Esim,77,GH,1617714209,67,4.8699,-2.2405,86.63,8.61
Nipawin,90,CA,1617714255,86,53.3668,-104.0009,32.0,5.75
Kuril'sk,100,RU,1617714256,75,45.2333,147.8833,29.1,9.4
Bambous Virieux,40,MU,1617714256,70,-20.3428,57.7575,86.0,8.05
Qui Nhon,100,VN,1617714125,89,13.7667,109.2333,77.04,6.35
Belaya Gora,100,RU,1617714257,99,68.5333,146.4167,-8.99,1.7
Namatanai,100,PG,1617714257,83,-3.6667,152.4333,79.56,4.45
Zhuhai,20,CN,1617714257,83,22.2769,113.5678,80.01,10.36
Boffa,75,GN,1617714258,46,10.1667,-14.0333,93.61,9.71
Eséka,86,CM,1617714258,57,3.65,10.7667,89.42,7.16
Kemijärvi,99,FI,1617714258,75,66.7131,27.4306,33.89,11.54
Yulara,0,AU,1617714259,29,-25.2406,130.9889,75.2,5.75
Hong Kong,53,HK,1617714016,80,22.2855,114.1577,75.0,13.4
Vestmannaeyjar,20,IS,1617714259,43,63.4427,-20.2734,28.4,10.36
Port Lincoln,0,AU,1617714260,73,-34.7333,135.8667,64.9,12.03
Kilindoni,100,TZ,1617714260,84,-7.9139,39.6668,79.79,18.43
Rocha,0,UY,1617714260,82,-34.4833,-54.3333,72.21,6.73
Pierre,75,US,1617714017,49,44.3683,-100.351,46.0,24.16
Atmakūr,35,IN,1617714261,23,15.8833,78.5833,95.22,11.77
Kurumkan,53,RU,1617714261,73,54.3,110.3,28.74,5.23
Tommot,97,RU,1617714262,96,58.9564,126.2925,-3.33,1.95
Ukiah,20,US,1617714262,87,39.1502,-123.2078,42.01,1.19
Viedma,100,AR,1617714262,57,-40.8135,-62.9967,75.11,14.79
Nālūt,0,LY,1617714263,23,30.3333,10.85,72.55,6.44
Sarakhs,0,IR,1617714263,16,36.5449,61.1577,84.2,6.91
Avera,1,US,1617714263,63,33.194,-82.5271,59.0,8.05
Wuwei,100,CN,1617714264,46,37.9281,102.6414,50.34,6.02
Pontes e Lacerda,65,BR,1617714264,74,-15.2261,-59.3353,81.37,1.36
Grand-Lahou,82,CI,1617714075,69,5.1367,-5.0242,85.71,7.87
Codrington,11,AU,1617714264,92,-38.2667,141.9667,54.48,7.4
Rahimatpur,22,IN,1617714265,13,17.6,74.2,95.65,1.19
Hualmay,73,PE,1617714077,81,-11.0964,-77.6139,71.11,7.56
Lima,17,PE,1617714026,88,-12.0432,-77.0282,69.01,5.75
Xiangxiang,100,CN,1617714265,96,27.7333,112.5333,52.95,3.51
Puerto Madero,90,MX,1617714266,94,14.7208,-92.4215,75.2,2.62
Kavieng,96,PG,1617714266,78,-2.5744,150.7967,81.18,4.34
Umeå,0,SE,1617714266,75,63.8284,20.2597,37.4,11.5
Ziro,20,IN,1617714267,58,27.6333,93.8333,84.2,0.58
Donskoye,40,RU,1617714267,50,45.4552,41.9741,51.8,8.95
Mason City,1,US,1617714267,88,43.1536,-93.201,60.01,6.91
Xiongzhou,100,CN,1617714268,63,25.1167,114.3,74.5,5.03
Fuyang,100,CN,1617714268,71,32.9,115.8167,56.88,4.38
Baraboo,75,US,1617714268,77,43.4711,-89.7443,61.0,4.61
Yamada,100,JP,1617714269,74,39.4667,141.95,37.89,2.82
Nikolskoye,75,RU,1617714269,52,59.7035,30.7861,39.2,8.95
Iqaluit,90,CA,1617714056,85,63.7506,-68.5145,12.2,5.75
Lorengau,36,PG,1617714269,81,-2.0226,147.2712,80.96,7.87
Bemidji,1,US,1617714201,80,47.4736,-94.8803,37.99,6.91
Ust-Maya,100,RU,1617714270,95,60.4167,134.5333,0.61,3.42
Antalaha,20,MG,1617714270,69,-14.9003,50.2788,83.95,6.58
Halifax,90,CA,1617714231,100,44.6453,-63.5724,43.0,10.36
College,20,US,1617714271,76,64.8569,-147.8028,-5.01,2.04
Kirakira,93,SB,1617714271,82,-10.4544,161.9205,79.86,6.02
Lidzbark Warmiński,100,PL,1617714072,64,54.1259,20.5795,38.62,13.42
Raudeberg,100,NO,1617714271,84,61.9875,5.1352,42.01,22.5
Yārāda,20,IN,1617714272,74,17.65,83.2667,84.2,5.75
Ola,100,RU,1617714272,95,59.5833,151.2833,18.45,1.57
Nome,90,US,1617714272,73,64.5011,-165.4064,12.2,11.5
Batemans Bay,52,AU,1617714273,90,-35.7167,150.1833,70.0,5.99
Manaure,100,CO,1617714273,73,11.7751,-72.4445,80.71,14.52
Sos'va,87,RU,1617714273,77,59.1766,61.8558,40.48,7.45
Maunabo,100,PR,1617714274,83,18.0072,-65.8993,79.0,1.99
Maceió,40,BR,1617714026,61,-9.6658,-35.7353,84.2,5.75
Vila Velha,20,BR,1617714274,57,-20.3297,-40.2925,82.4,6.91
Anaconda,90,US,1617714274,74,46.1285,-112.9423,32.0,8.05
Korla,69,CN,1617714275,22,41.7597,86.1469,59.05,10.38
Eston,20,CA,1617714275,86,51.1501,-108.7514,28.4,4.61
Novozaimka,83,RU,1617714275,81,56.4857,66.9241,36.82,14.05
Lavrentiya,24,RU,1617714276,96,65.5833,-171.0,-8.88,8.9
Olafsvik,100,IS,1617714276,63,64.8945,-23.7142,26.28,3.49
Arman',100,RU,1617714276,92,59.7,150.1667,16.56,2.8
Chkalovskoye,97,RU,1617714277,45,44.8392,133.0436,42.33,11.61
Eyl,53,SO,1617714137,46,7.9803,49.8164,84.67,14.63
Khorixas,6,NA,1617714277,23,-20.3667,14.9667,91.24,6.8
Nabire,99,ID,1617714277,90,-3.3667,135.4833,78.28,2.89
Southbridge,10,US,1617714278,54,42.0751,-72.0334,50.0,3.0
Santa Cruz de la Sierra,75,BO,1617714151,88,-17.8,-63.1667,75.2,6.91
Tasiilaq,90,GL,1617714278,79,65.6145,-37.6368,21.2,4.61
Hofn,13,IS,1617714071,51,64.2539,-15.2082,23.81,16.51
Presidente Médici,100,BR,1617714279,88,-11.1753,-61.9014,78.03,1.41
Straumen,75,NO,1617714279,87,63.8709,11.2999,41.0,13.8
Vila Franca do Campo,75,PT,1617714279,94,37.7167,-25.4333,62.6,12.66
Half Moon Bay,90,US,1617714280,81,37.4636,-122.4286,50.0,3.4
‘Ewa Beach,1,US,1617714280,73,21.3156,-158.0072,71.6,4.61
Sterling,20,US,1617714244,48,39.0062,-77.4286,60.8,1.79
Honiara,100,SB,1617714281,87,-9.4333,159.95,78.8,3.47
Sangar,40,RU,1617714281,99,63.9242,127.4739,-15.99,2.51
Pevek,100,RU,1617714281,100,69.7008,170.3133,-20.38,5.59
Freeport,1,US,1617714282,28,40.6576,-73.5832,53.6,13.8
Ostrovnoy,100,RU,1617714282,97,68.0531,39.5131,34.75,21.34
Kapoeta,100,SS,1617714282,49,4.7717,33.5903,84.85,11.77
Belorechensk,40,RU,1617714283,55,44.76,39.87,60.8,15.66
Mount Gambier,0,AU,1617714241,93,-37.8333,140.7667,51.8,4.61
Narsaq,75,GL,1617714283,81,60.9167,-46.05,37.4,5.75
Chippewa Falls,99,US,1617714016,98,44.9369,-91.3929,59.0,5.21
Kemin,100,KG,1617714284,80,42.7846,75.6892,45.79,4.65
Huangmei,100,CN,1617714284,65,30.1924,116.025,59.99,4.68
Waingapu,100,ID,1617714284,86,-9.6567,120.2641,77.63,18.5
Mamlyutka,0,KZ,1617714285,80,54.9375,68.5394,35.6,20.13
Broken Hill,0,AU,1617714285,26,-31.95,141.4333,69.8,11.5
Grenå,40,DK,1617714285,46,56.4158,10.8783,46.4,23.02
Bathsheba,75,BB,1617714068,61,13.2167,-59.5167,82.4,16.11
Nhulunbuy,67,AU,1617714286,83,-12.2333,136.7667,73.4,4.43
Pozo Colorado,100,PY,1617714286,42,-23.4923,-58.7972,83.66,5.66
